"filename", "language", "CSS", "TypeScript", "HTML", "comment", "blank", "total"
"d:\gitFork\consulttrainfrontend\src\app\services\token.interceptor.ts", "TypeScript", 0, 46, 0, 4, 4, 54
"d:\gitFork\consulttrainfrontend\src\app\services\trainer.service.spec.ts", "TypeScript", 0, 12, 0, 0, 5, 17
"d:\gitFork\consulttrainfrontend\src\app\services\trainer.service.ts", "TypeScript", 0, 46, 0, 0, 5, 51
"d:\gitFork\consulttrainfrontend\src\app\services\users.service.spec.ts", "TypeScript", 0, 12, 0, 0, 5, 17
"d:\gitFork\consulttrainfrontend\src\app\services\users.service.ts", "TypeScript", 0, 42, 0, 0, 6, 48
"d:\gitFork\consulttrainfrontend\src\app\services\utilities.service.spec.ts", "TypeScript", 0, 12, 0, 0, 5, 17
"d:\gitFork\consulttrainfrontend\src\app\services\utilities.service.ts", "TypeScript", 0, 67, 0, 32, 16, 115
"d:\gitFork\consulttrainfrontend\src\app\services\vehicle.service.spec.ts", "TypeScript", 0, 12, 0, 0, 5, 17
"d:\gitFork\consulttrainfrontend\src\app\services\vehicle.service.ts", "TypeScript", 0, 29, 0, 15, 5, 49
"d:\gitFork\consulttrainfrontend\src\app\services\visual.service.spec.ts", "TypeScript", 0, 12, 0, 0, 5, 17
"d:\gitFork\consulttrainfrontend\src\app\services\visual.service.ts", "TypeScript", 0, 29, 0, 15, 5, 49
"d:\gitFork\consulttrainfrontend\src\app\widget\activities\activities.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\gitFork\consulttrainfrontend\src\app\widget\activities\activities.component.html", "HTML", 0, 0, 236, 13, 3, 252
"d:\gitFork\consulttrainfrontend\src\app\widget\activities\activities.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\widget\activities\activities.component.ts", "TypeScript", 0, 95, 0, 0, 9, 104
"d:\gitFork\consulttrainfrontend\src\app\widget\alert\alert.component.css", "CSS", 6, 0, 0, 0, 1, 7
"d:\gitFork\consulttrainfrontend\src\app\widget\alert\alert.component.html", "HTML", 0, 0, 14, 0, 1, 15
"d:\gitFork\consulttrainfrontend\src\app\widget\alert\alert.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\widget\alert\alert.component.ts", "TypeScript", 0, 46, 0, 4, 6, 56
"d:\gitFork\consulttrainfrontend\src\app\widget\driversearch\driversearch.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\gitFork\consulttrainfrontend\src\app\widget\driversearch\driversearch.component.html", "HTML", 0, 0, 77, 3, 2, 82
"d:\gitFork\consulttrainfrontend\src\app\widget\driversearch\driversearch.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\widget\driversearch\driversearch.component.ts", "TypeScript", 0, 47, 0, 2, 6, 55
"d:\gitFork\consulttrainfrontend\src\app\widget\mastercategory\mastercategory.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\gitFork\consulttrainfrontend\src\app\widget\mastercategory\mastercategory.component.html", "HTML", 0, 0, 176, 1, 2, 179
"d:\gitFork\consulttrainfrontend\src\app\widget\mastercategory\mastercategory.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\widget\mastercategory\mastercategory.component.ts", "TypeScript", 0, 92, 0, 0, 8, 100
"d:\gitFork\consulttrainfrontend\src\app\widget\signup\signup.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\gitFork\consulttrainfrontend\src\app\widget\signup\signup.component.html", "HTML", 0, 0, 199, 0, 2, 201
"d:\gitFork\consulttrainfrontend\src\app\widget\signup\signup.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\widget\signup\signup.component.ts", "TypeScript", 0, 81, 0, 3, 6, 90
"d:\gitFork\consulttrainfrontend\src\app\widget\slavecategory\slavecategory.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\gitFork\consulttrainfrontend\src\app\widget\slavecategory\slavecategory.component.html", "HTML", 0, 0, 229, 13, 2, 244
"d:\gitFork\consulttrainfrontend\src\app\widget\slavecategory\slavecategory.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\widget\slavecategory\slavecategory.component.ts", "TypeScript", 0, 128, 0, 0, 8, 136
"d:\gitFork\consulttrainfrontend\src\app\widget\userprofile\userprofile.component.css", "CSS", 6, 0, 0, 0, 1, 7
"d:\gitFork\consulttrainfrontend\src\app\widget\userprofile\userprofile.component.html", "HTML", 0, 0, 150, 3, 2, 155
"d:\gitFork\consulttrainfrontend\src\app\widget\userprofile\userprofile.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\widget\userprofile\userprofile.component.ts", "TypeScript", 0, 107, 0, 1, 5, 113
"d:\gitFork\consulttrainfrontend\src\environments\environment.development.ts", "TypeScript", 0, 4, 0, 0, 1, 5
"d:\gitFork\consulttrainfrontend\src\environments\environment.ts", "TypeScript", 0, 4, 0, 0, 1, 5
"d:\gitFork\consulttrainfrontend\src\index.html", "HTML", 0, 0, 15, 0, 1, 16
"d:\gitFork\consulttrainfrontend\src\main.ts", "TypeScript", 0, 5, 0, 0, 2, 7
"d:\gitFork\consulttrainfrontend\src\styles.css", "CSS", 40, 0, 0, 2, 3, 45
"Total", "-", 399, 4839, 5358, 415, 865, 11876
